juwan emu de wasimbu ha ,	nv nv cm verb e mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
sanggarjai ,	nn mark
emungge bi tondo i kice me akūmbu ki ,	nn pn nv cm verb e verb e mark
te fi yabu re emte kiyoo ,	verb e verb e nv nv mark
giya_jing ni dehi sunjaci aniya nadan biya i orin emu de baha ha .	nn cm nv nv nv nv nv cm nv nv cm verb e mark
geren be guile fi geren i juleri kūwatar seme hefeliyene re o ci mujangga ,	nv cm verb e nv cm nv nv comp verb e verb e nv mark
lung_king ni ilaci aniya duin biya i orin sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
muse ehe gisun karu hendu fi unggi ki seme hendu fi tebu he .	pn nv nv nv verb e verb e comp verb e verb e mark
folo ho jebele de beri niru sisi hai emte ,	verb e nv cm nv nv verb e nv mark
ku i jeku be eje me gaija ra ,	nv cm nv cm verb e verb e mark
sunjata morin ,	nv nv mark
emu tanggū cooha be gai fi ,	nv nv nv cm verb e mark
han i gisun be baha fi ,	nv cm nv cm verb e mark
yengge de sunja niru ,	nv cm nv nv mark
boo de bisi re ulgiyan be wacihiya me wece fi ,	nv cm verb e nv cm verb e verb e mark
han i gosi ha be gūni me hing se re unenggi gūnin i yabu ci ,	nv cm verb e cm verb e nv verb e nv nv cm verb e mark
ulha tarhū ha manggi ,	nv verb e nv mark
wa rakū niyalma de sui isi kini seme gashū ha bi he kai ,	verb e nv cm nv verb e comp verb e verb e ptcl mark
simiyan i tsang de jeku ali me gai ha hafasa ,	nn cm nv cm nv verb e verb e nv mark
birai_dergi gurun be daila cina .	nn nv cm verb e mark
yoo_jeo de juwe minggan cooha gama ∅ ,	nn cm nv nv nv verb e mark
juwe jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
cooha i dzung_bing_guwan fujiyang de afabu ha ,	nv cm nv nv cm verb e mark
bayangga geren de donjibu me gisure fi ,	nn nv cm verb e verb e mark
gūwa be enggelce me banji fi ,	nv cm verb e verb e mark
ba ambula gai fi usin be niyalma turi fi weilebu me ,	nv nv verb e nv cm nv verb e verb e mark
suwe cala gene rakū ebele bi ci ,	pn nv verb e nv verb e mark
○ santan be ,	mark nn cm mark
enggelei ,	nn mark
jeku inu elgiyen o ho ,	nv nv nv verb e mark
dain dain de amban seme šangna me bu he jaka be gemu gai mbi seme beide he bi he ,	nv nv cm nv comp verb e verb e nv cm nv verb e comp verb e verb e mark
hoton i dorgi cooha i niyalma gabta ra ,	nv cm nv nv cm nv verb e mark
šajin fafun be akdun jafa fi etenggile me kadala cina ,	nv nv cm nv verb e verb e verb e mark
fu_jeo i juse hehesi be ,	nn cm nv nv cm mark
ere juwe mafa yaksi hakūbi seme ala ra jaka de ,	nv nv nv verb e comp verb e nv cm mark
jeng_giyang ni šeo_pu i juse de ama i hergen bu he be suwe sa ha kai ,	nn cm nv cm nv cm nv cm nv verb e cm pn verb e ptcl mark
tanggū šusiha šusihala ha .	nv nv verb e mark
ulgiyan coko aika jaka be gemu yooni guri re ba de isibu kini ,	nv nv nv nv cm nv nv verb e nv cm verb e mark
wang_dzung_kui be wesibu fi beiguwan obu ha .	nn cm verb e nv verb e mark
wehe ambula isabu ∅ ,	nv nv verb e mark
boo i aha ,	nv cm nv mark
ere bai me ji he gung de ,	nv verb e verb e nv cm mark
nikan i hanja narhūn gemu efuje he .	nv cm nv nv nv verb e mark
tsanjiyang ,	nv mark
juwe ejen icingga i uda fi je ∅ ,	nv nv nv cm verb e verb e mark
juwan emu de munggatu dooli de wasimbu ha ,	nv nv cm nn nv cm verb e mark
giya_jing ni dehi sunjaci aniya nadan biya i orin emu de baha ha ,	nn cm nv nv nv nv nv cm nv nv cm verb e mark
ice ilan de liyoodung de isinji ∅ .	nv nv cm nn cm verb e mark
han i fujisa ,	nv cm nv mark
iole he hoošan i boro dobton tofohon ,	verb e nv cm nv nv nv mark
geren cooha i niyalma be gai fi dusy yamun de hengkile he .	nv nv cm nv cm verb e nv nv cm verb e mark
akdun akū niyalma be gaji me ji ∅ ,	nv nv nv cm verb e verb e mark
ušitai juwe tanggū cooha be looli de gai fi te mbi ,	nn nv nv nv cm nn cm verb e verb e mark
sanca bai re niyalma be ,	nv verb e nv cm mark
orin emu ihan ,	nv nv nv mark
amba_beile gai fi okdo me gene re de ,	nn verb e verb e verb e cm mark
hehe duin ji he ,	nv nv verb e mark
weile he jeku i dabala ,	verb e nv cm ptcl mark
nio_juwang de emte gene ∅ ,	nn cm nv verb e mark
emu feye sacibu ha seme juwan nadan yan i weile waliya mbi ,	nv nv verb e comp nv nv nv cm nv verb e mark
yargiyan cooha jura ka mejige ji ci ,	nv nv verb e nv verb e mark
muse dain waka kai ,	pn nv nv ptcl mark
da ci dele benji re an i jaka be ,	nv cm nv verb e nv cm nv cm mark
han i jase tuci ke niyalma be sa fi wa rakū ci ,	nv cm nv verb e nv cm verb e verb e e mark
šanapu i beiguwan jang_u_lin habša ra ngge ,	nn cm nv nn verb e nmlz mark
in i ama de aca rakū ci ,	pn cm nv cm verb e e mark
tere ci nikan han i dolo jobo me bisi re de ,	nv cm nv nv cm nv verb e verb e cm mark
nene me gala axša ci ,	verb e nv verb e mark
hoifa i baindari de bu mbi seme sadun ci hūwakiya ha ,	nn cm nn cm verb e comp nv cm verb e mark
tere gene he niyalma ,	nv verb e nv mark
jeku be hadu me wacihiya fi tūbu he ,	nv cm verb e verb e verb e mark
mahaltu_ninggu ci ebsi ,	nn cm nv mark
tungken ,	nv mark
suwe ainu gisure mbi ,	pn nv verb e mark
emu ciyandzung de duin niyalma ,	nv nv cm nv nv mark
jai ,	nv mark
○ ineku tere inenggi ,	mark nv nv nv mark
deo beile ,	nv nv mark
nikan gurun i wan_lii_han i dehi nadan tumen cooha de ,	nv nv cm nn cm nv nv nv nv cm mark
han i jui beile se amban sa ,	nv cm nv nv nv nv nv mark
ahūn de usha me bisi re de ,	nv cm verb e verb e cm mark
hecen ci tuci fi bira i cikin de ili mbi ,	nv cm verb e nv cm nv cm verb e mark
tenteke niyalma ,	nv nv mark
beri sirdan ,	nv nv mark
niyaman hūncihin de juwan niyalma ji he ,	nv nv cm nv nv verb e mark
yecen ,	nn mark
min i kadala ra emu niru i cooha be iogi tsanjiyang ci fakca rakū ,	pn cm verb e nv nv cm nv cm nv nv cm verb e mark
sile yaya emke ,	nv nv nv mark
gisure he gisun de isibu rakū ba de ,	verb e nv cm verb e nv cm mark
cifun gaija ra ,	nv verb e mark
nikan ,	nv mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
gurbusi_efu i gese bu mbi ,	nn cm nv verb e mark
mujilen be amban onco obu fi ,	nv cm nv nv verb e mark
kūrcan de ilan hule maise unggi ∅ se he bi he ,	nv cm nv nv nv verb e verb e verb e mark
sahalca seke haya ha hū ha jibca emte ,	nv nv verb e verb e nv nv mark
baduhū i gūsin yan i gung be jaciba ji fi faita ha .	nn cm nv nv cm nv cm nn verb e verb e mark
han hendu me ,	nv verb e mark
tere gemu abka i acabu me gama ha weile kai ,	nv nv nv cm verb e verb e nv ptcl mark
ninju pinggu benji he .	nv nv verb e mark
jai ehe kiyangdu hūlha holo ,	nv nv nv nv nv mark
bakcin i niyalma akū o ci ,	nv cm nv nv verb e mark
ilaci jergi iogi de juwete ihan ,	nv nv nv cm nv nv mark
cen i gurun be daila ci ete rakū adali afa ci mute rakū aca ki seme takūra ra adali gūni me ,	pn cm nv cm verb e verb e nv verb e verb e verb e comp verb e nv verb e mark
ere šurde me baha ci waji ha ,	nv verb e verb e verb e mark
io_tun_wei haha be ,	nn nv cm mark
beile se ,	nv nv mark
muke juwe re hehe sunja juru ,	nv verb e nv nv nv mark
han i jaka de urut beile se suwe ji ki se ci ,	nv cm nv cm nn nv nv pn verb e verb e mark
aga me ing guri ci ojo rakū ,	verb e nv verb e verb e mark
jeku bi fi juwe me unca ci ,	nv verb e verb e verb e mark
urut i beile se in i monggo gurun i han be ehe ,	nn cm nv nv pn cm nv nv cm nv cm nv mark
uru be waka ,	nv cm nv mark
kalka men de ji ci ,	nv pn cm verb e mark
hailun ilan ,	nv nv mark
gida ha manggi ,	verb e nv mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
jase dolo dosi fi yabu ci ,	nv nv verb e verb e mark
○ langse be ,	mark nv cm mark
niru i ejen i daise ciyandzung de jakūta ,	nv cm nv cm nv nv cm nv mark
hūlha holo koimali jalingga akū tondo banji ki .	nv nv nv nv nv nv verb e mark
han i pai be gai fi ,	nv cm nv cm verb e mark
hehe niyalma de mujilen bahabu me ,	nv nv cm nv verb e mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
beile se amban sa geren cooha be gai fi amasi bedere he ,	nv nv nv nv nv nv cm verb e nv verb e mark
min i da ci banji ha jurgan ,	pn cm nv cm verb e nv mark
alun_wei i du_jy_hūi_ciyanši udingge i omolo yantai ,	nn cm nv nn cm nv nn mark
min i juse omosi jalan hala me han de gosibu me wesihun banji kini .	pn cm nv nv nv verb e nv cm verb e nv verb e mark
jai duici_beile i baru hendu me ,	nv nn cm nv verb e mark
labsi ,	nn mark
beye ajigen solho alašan be sonjo fi ,	nv nv nv nv cm verb e mark
hoifa de emu feye baha ha seme uyute yan i weile waliya mbi ,	nn cm nv nv verb e comp nv nv cm nv verb e mark
○ hūngniyaka be ,	mark nn cm mark
nikan cooha i amargi dube de dosi fi ,	nv nv cm nv nv cm verb e mark
argio janggin ,	nn nv mark
niyaman hūncihin seme harša rakū ,	nv nv comp verb e mark
g'ai_jeo de bisi re alban i jeku orho be ,	nn cm verb e nv cm nv nv cm mark
baibi sain seme holto me jabu fi aina mbi ,	nv nv comp verb e verb e verb e mark
daila fi cooha be gemu wa ha ,	verb e nv cm nv verb e mark
juwe amji duin mama de urun i doro i hengkile he ,	nv nv nv nv cm nv cm nv cm verb e mark
sin i emu niyalma i gisun de adarame akda fi beide mbi ,	pn cm nv nv cm nv cm nv verb e verb e mark
in i jui yoto i dasa ha ba be dasa me dasa fi te ki seme hendu he manggi ,	pn cm nv nn cm verb e nv cm verb e verb e verb e comp verb e nv mark
cergei ,	nn mark
uheri jakūn uksin ,	nv nv nv mark
yarga be golo i amban ci wasibu fi ,	nv cm nv cm nv cm verb e mark
giyaha de menggušen gai fi te he emu tanggū yafahan be ,	nn cm nn verb e verb e nv nv nv cm mark
juwe sadun ulha ambula wa kini ,	nv nv nv nv verb e mark
min de cooha ganji ∅ ,	pn cm nv verb e mark
○ fokota be wesibu fi beiguwan obu ha ,	mark nn cm verb e nv verb e mark
abka waka be wakala me uru be urule me ,	nv nv cm verb e nv cm verb e mark
tere gisun be ainu dabu rakū ,	nv nv cm nv verb e mark
baha ra ubu ci enteheme nakabu mbi ,	verb e nv cm nv verb e mark
wan_lii i orin nadaci aniya juwe biya i ice uyun de baha ha ,	nn cm nv nv nv nv nv cm nv nv cm verb e mark
jai duin gio ,	nv nv nv mark
sure_kundulen_han i beye de banji ha mukusi_gege be geli bujantai de bu he .	nn cm nv cm verb e nn cm nv nn cm verb e mark
emu gašan hūwa_pi_ioi ,	nv nv nn mark
sangtu i ama i ara ha weile be we wacihiya habi ,	nn cm nv cm verb e nv cm nv verb e mark
yarga i boco oilo ,	nv cm nv nv mark
munggu be wasibu fi cooha de dabu rakū ,	nn cm verb e nv cm verb e mark
emu juwe niyalma bulca me uka me gūwa niru i emgi fere de yabu ha de ,	nv nv nv verb e verb e nv nv cm nv nv cm verb e cm mark
iogi ,	nv mark
hūlha holo koimali jalingga akū tondo i banji ki .	nv nv nv nv nv nv cm verb e mark
alban i jeku ,	nv cm nv mark
aika baita de takūra ha hafan sa i funde deote juse yamula ∅ ,	nv nv cm verb e nv nv cm nv nv nv verb e mark
turgei dzung_bing_guwan de ,	nn nv cm mark
tere bele be jase i tulergi deli_wehe de bene ∅ ,	nv nv cm nv cm nv nn cm verb e mark
in i non be han i jui degelei_taiji de sargan benji he bi he .	pn cm nv cm nv cm nv nn cm nv verb e verb e mark
si_mu_ceng ni ergi de anafu tene fi ,	nn cm nv cm nv verb e mark
badamu ,	nn mark
muse de kimungge nikan gurun be daila ki seme unggi he bi ci sain bi he kai ,	pn cm nv nv nv cm verb e comp verb e verb e nv verb e ptcl mark
wa rakū niyalma de sui isi kini seme gashū ha bi he ,	verb e nv cm nv verb e comp verb e verb e mark
aikabade ufara ha de ,	nv verb e cm mark
○ fujisa ,	mark nv mark
iogi gai fi fujiyang de yamula ∅ ,	nv verb e nv cm verb e mark
ciyandzung emte ,	nv nv mark
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv cm verb e nv nv cm verb e verb e mark
ilaci jergi iogi obu ha ,	nv nv nv verb e mark
weile he jeku i dabala ,	verb e nv cm ptcl mark
ing hada fi bisi re de ,	nv verb e verb e cm mark
ihan honin wa me sarila ha .	nv nv verb e verb e mark
jakūn wang de ala mbi ,	nv nv cm verb e mark
geren buya cooha i niyalma i boo ,	nv nv nv cm nv cm nv mark
bodonggo i weile baha ha turgun de ,	nv cm nv verb e nv cm mark
min i tondo uru be uru ara me ,	pn cm nv nv cm nv verb e mark
weile he jeku i dabala ,	verb e nv cm ptcl mark
sula usin bisi re ba de usin tari me gene kini ,	nv nv verb e nv cm nv verb e verb e mark
fujiyang de sunjata bu he tsanjiyang de duite bu he ,	nv cm nv verb e nv cm nv verb e mark
amaga juse omosi jalan hala me sain uji kini seme hendu re gisun ere inu ,	nv nv nv nv verb e nv verb e comp verb e nv nv nv mark
tondo sain jurgan be yabu rakū ,	nv nv nv cm verb e mark
○ sunja tatan i kalka i beile se ,	mark nv nv cm nv cm nv nv mark
monggo i uka me ji he niyalma de ,	nv cm verb e verb e nv cm mark
soninai i elcin ,	nn cm nv mark
han hendu me ,	nv verb e mark
suwe kimci me baica rakū ,	pn verb e verb e mark
niyalma i beye i gese šumin juwan jergi eye fete hebi ,	nv cm nv cm nv nv nv nv nv verb e mark
ahūn sure_kundulen_han hendu me ,	nv nn verb e mark
jušen nikan yaya sa ha niyalma jafa fi benji ∅ ,	nv nv nv verb e nv verb e verb e mark
iogi ušan ,	nv nn mark
koro ambula o fi deribu he ,	nv nv verb e verb e mark
hashū ergi duin gūsa i cooha ,	nv nv nv nv cm nv mark
jušen nikan be dende fi ,	nv nv cm verb e mark
han i beye weihu de te fi ,	nv cm nv nv cm verb e mark
enggeder_efu i emgi efu i boigon gana me gene he ,	nn cm nv nv cm nv verb e verb e mark
nikan i aika jaka be ume cuwangna ra ,	nv cm nv nv cm nv verb e mark
men i solho gurun be jobobu re singgeri hūlha kai ,	pn cm nv nv cm verb e nv nv ptcl mark
daila ra jaka de ,	verb e nv cm mark
emu ciyandzung ,	nv nv mark
amin_beile i jao_iogi juwe weihun gio ,	nn cm nn nv nv nv mark
emu dangse seme ala ha manggi ,	nv nv comp verb e nv mark
sin i ehe be bi ai gūni re ,	pn cm nv cm pn nv verb e mark
ulhu buta ra bigara me juwe ilan biya yabu re niyalma de ulebu hebi o ,	nv verb e verb e nv nv nv verb e nv cm verb e ptcl mark
min i beye i teile hengkile me okdo ko ,	pn cm nv cm nv verb e verb e mark
cuwan de siltan moo ume sinda ra ,	nv cm nv nv nv verb e mark
amba_beile hendu me ,	nn verb e mark
ulin de amuran o fi ,	nv cm nv verb e mark
suje boso ambula bu fi unggi he .	nv nv nv verb e verb e mark
efu de eje he ,	nv cm verb e mark
○ ice uyun de ,	mark nv nv cm mark
gabula ,	nv mark
kalka i jongnon_beile i jui se i elcin ilan niyalma ,	nv cm nn cm nv nv cm nv nv nv mark
wan_lii i nadaci aniya ninggun biya i juwan juwe de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
jao_fung_tsy ,	nn mark
han ,	nv mark
leke i baru emu ubu .	nn cm nv nv nv mark
jai geli gucuse i baru hendu me ,	nv nv nv cm nv verb e mark
elcin ,	nv mark
ese de duite bu he ,	nv cm nv verb e mark
emgi acabu fi ping_lu_pu ci wasihūn ,	nv verb e nn cm nv mark
ilan suje ,	nv nv mark
te edun amban ,	nv nv nv mark
jang_iogi ,	nn mark
ukanju halbu ha niyalma hūlha kai ,	nv verb e nv nv ptcl mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
du_tang ,	nv mark
○ bashan be ,	mark nn cm mark
ši_dzui_pu ,	nn mark
cooha gene he han ama be deote be sunja amban be firu me bithe ara fi abka na de deiji fi ,	nv verb e nv nv cm nv cm nv nv cm verb e nv verb e nv nv cm verb e mark
baigal_beile i jakūn boigon ,	nn cm nv nv mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
enggeder_efu ,	nn mark
hergen wasibu re be gemu naka fi ,	nv verb e cm nv verb e mark
šanggiyatu ,	nn mark
nikasa de wasimbu ha gisun ,	nv cm verb e nv mark
dumbai ,	nn mark
haha be gemu wa ∅ ,	nv cm nv verb e mark
○ hiong_ciyan ,	mark nn mark
dobori o ci ,	nv verb e mark
ginjeo i lii_diyan_kui ,	nn cm nn mark
han i bithe ,	nv cm nv mark
marahū ,	nn mark
gūsita mocin bu he .	nv nv verb e mark
gurun gucu be ,	nv nv cm mark
urikan ,	nn mark
giyamsu janggin ,	nn nv mark
jeku juwe re yehe de bi he niyalma be ,	nv verb e nv cm verb e nv cm mark
